tweet,date,account
Meet the industry insider who curates art for shows on Netflix and beyond,2025-02-07T23:15:04.000Z,@CNBC
"Here are Friday's biggest analyst calls: Nvidia, Amazon, Pinterest, Netflix, Broadcom, Expedia, Honeywell & more",2025-02-07T13:23:00.000Z,@CNBC
"Here are Tuesday's biggest analyst calls: Nvidia, Tesla, Apple, Palantir, Netflix, Marriott, Kroger, AMC & more",2025-02-04T13:44:21.000Z,@CNBC
No tweets found,N/A,Stocktwits
NFL's Christmas games on Netflix drive historic audience http://reut.rs/40Qz2z9,2025-02-07T20:50:06.000Z,@Reuters
"As cannabis and sports betting become legalized, and with OnlyFans as mainstream as Netflix, the payment service has become the go-to app for everyday hedonists.
Read more: https://forbes.com/sites/willyakowicz/2024/12/13/venmo-is-for-vices-paying-for-sex-drugs-and-gambling-on-the-down-low/?utm_source=TWITTER&utm_medium=social&utm_campaign=forbes…",2025-02-07T00:11:00.000Z,@Forbes
"Netflix $NFLX has hit a major milestone, soaring past $1,000 per share for the first time! This surge follows impressive growth, driven by strong subscriber gains and smart pricing moves. 

With $1,100 in sight, talks of a potential stock split are heating up. Will it keep",2025-02-04T17:13:00.000Z,@Benzinga
Private banking may seem like an unusual topic for a TV drama. But a new show on Netflix explores the secretive work of a “butler of money” in Japan,2025-02-07T23:55:05.000Z,@business
"As controversy continues to swirl around actress Karla Sofía Gascón and her vile past posts, any awards season fallout should fall on Netflix https://trib.al/7z71vz5 via 
@opinion",2025-02-05T17:01:37.000Z,@business
"Oklahoma is the first Republican state to try to use its influence as an investor to end DEI in corporate America, targeting companies including Amazon, Netflix and Alphabet",2025-02-05T13:15:21.000Z,@business
"RT 
@elonmusk
 should immediately divest from all his businesses if he wants to serve in any capacity within the 
@realDonaldTrump
 administration $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA $META $MSTR $BTC",2025-02-05T20:40:27.000Z,@TradingGuru
"RT 
@elonmusk
 should immediately divest from all his businesses if he wants to act as an advisor to 
@realDonaldTrump
 and be involved in the U.S. government $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $ORCL $NVDA $MSTR $BTC",2025-02-04T13:21:22.000Z,@TradingGuru
"RT 
@elonmusk
 should immediately divest from all of his businesses if he wants to act as an advisor to 
@realdonaldtrump
 $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA",2025-02-04T12:25:09.000Z,@TradingGuru
"RT Bitcoin does not hold intrinsic MONETARY VALUE. It is tied to the electricity cost to solve mining algorithm. Current hype is attributed to 
@realDonaldTrump
 promotion for personal gains $QQQ $MSFT $GOOG $AAPL $AMZN $TSLA $NFLX $NVDA $ORCL $MSTR $BTC",2025-02-04T04:16:15.000Z,@TradingGuru
