tweet,date,account
"Here are Friday's biggest analyst calls: Nio, Nvidia, UPS, Amazon, Oracle, Lyft, Microsoft, Walmart, Exxon, Netflix, AT&T & more",2024-06-07T12:24:46.000Z,@CNBC
"Here are Thursday's biggest analyst calls: Apple, Nvidia, Tesla, Netflix, Alphabet, United, JPMorgan, Carvana, Broadcom & more",2024-06-06T12:34:32.000Z,@CNBC
"Here are Tuesday's biggest analyst calls: Apple, Nvdia, Netflix, Broadcom, Micron, Nike, Alphabet, First Solar & more",2024-06-04T12:25:02.000Z,@CNBC
"$NVDA is now larger than $AMZN, $WMT and $NFLX COMBINED…

Let that sink in",2024-06-01T15:51:21.000Z,@Stocktwits
A woman who claims she was falsely depicted as a stalker in Richard Gadd’s Netflix hit “Baby Reindeer” has sued the streaming service for defamation and other charges https://on.wsj.com/3yJR3ow https://on.wsj.com/3yJR3ow,2024-06-07T03:53:58.000Z,@WSJ
Netflix was sued for at least $170 million by a Scottish woman who said she was defamed over her portrayal as a stalker in the hit mini-series ‘Baby Reindeer’ https://reut.rs/3KA5pdK,2024-06-07T03:10:04.000Z,@Reuters
Netflix faces $170 million 'Baby Reindeer' defamation lawsuit http://reut.rs/4bOEYwS,2024-06-06T23:15:06.000Z,@Reuters
Netflix reveals new details on animated titles with Skydance http://reut.rs/4eahrIy,2024-06-06T22:01:00.000Z,@Reuters
Netflix tests biggest TV app redesign in 10 years http://reut.rs/4ebDcrd,2024-06-06T17:25:04.000Z,@Reuters
"Netflix, Central Park Five prosecutor settle defamation lawsuit http://reut.rs/3Re1kQ6",2024-06-04T19:35:13.000Z,@Reuters
Baby Reindeer’s Alleged ‘Real Martha’ Is Suing Netflix For $170 Million https://trib.al/MbCKDeY,2024-06-07T15:10:04.000Z,@Forbes
"‘Baby Reindeer’ Inspiration Fiona Harvey Sues Netflix For At Least $170 Million
https://go.forbes.com/c/byFz",2024-06-06T21:45:10.000Z,@Forbes
No tweets found,N/A,RobinJPowell
"$NFLX | Jake Paul-Mike Tyson Boxing Match Set To Stream On Netflix With New Date

Netflix's Jake Paul vs. Mike Tyson boxing match will be rescheduled to Nov. 15.

The fight was originally planned for July 20, but will be moved due to Tyson's medical issues.",2024-06-07T16:21:34.000Z,@Benzinga
Netflix is facing a defamation lawsuit seeking at least $170 million from a woman who claims to be the inspiration behind a central character in the hit series Baby Reindeer,2024-06-07T09:48:35.000Z,@business
"A woman who says she is the inspiration for the relentless stalker at the center of Netflix's Baby Reindeer sued the streaming giant for defamation and is seeking at least $170 million in damages, AP reports https://trib.al/3G6DpBX",2024-06-07T02:06:24.000Z,@business
Netflix bulls are betting that efforts to foray into live events and sports will drive the next leg of stock-price gains https://trib.al/Hp950Gy,2024-06-06T11:36:16.000Z,@business
"RT Uncontrolled rise in US stock markets is causing lingering inflation in RE, living, and healthcare costs, forcing the Fed to maintain high-interest rates. A correction of about 30% in US stocks is imminent $QQQ $NVDA $GOOG $AAPL $AMZN $NFLX $TSLA $META",2024-06-07T20:03:53.000Z,@TradingGuru
"RT Uncontrolled rise in US stock markets is causing lingering inflation in RE, living, and healthcare costs, forcing the Fed to maintain high-interest rates. A correction of about 30% in US stocks is imminent $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $META",2024-06-07T12:33:38.000Z,@TradingGuru
"RT Uncontrolled rise in US stock markets is causing lingering inflation in RE, living, and healthcare costs, forcing the Fed to maintain high-interest rates. A correction of about 30% in US stocks is imminent $QQQ $MSFT $NVDA $AAPL $AMZN $NFLX $TSLA $META",2024-06-06T15:19:24.000Z,@TradingGuru
